Time,L2P6(W),Smoothing(a=0.3),Moving average
532,119.4,199.0489181,164.52
533,131.2,175.1542427,162.6
534,179.1,161.9679699,158.34
535,189.7,167.1075789,161.34
536,187.3,173.8853052,174.12
537,183.3,177.9097137,181.36
538,167.4,179.5267996,188.74
539,216,175.8887597,194.56
540,218.8,187.9221318,186.96
541,149.3,197.1854923,185.16
542,174.3,182.8198446,193.48
543,209,180.2638912,213.4
544,315.6,188.8847238,208.72
545,195.4,226.8993067,221.62
546,213.8,217.4495147,214.72
547,139.8,216.3546603,224.46
548,257.7,193.3882622,211.74
549,252,212.6817835,220.58
550,239.6,224.4772485,232.68
551,274.3,229.0140739,245.48
552,203.8,242.5998518,239.22
553,226.4,230.9598962,233.24
554,222.1,229.5919274,219.82
555,172.5,227.3443492,206.98
556,210.1,210.8910444,216.08
557,249.3,210.6537311,202.62
558,159.1,222.2476118,192.88
559,173.4,203.3033282,201.52
560,215.7,194.3323298,206.14
561,233.2,200.7426308,205.22
562,244.7,210.4798416,217.86
563,222.3,220.7458891,231.62
564,242.2,221.2121224,232.38
565,219.5,227.5084857,222.08
566,181.7,225.10594,210.9
567,188.8,212.084158,210.5
568,220.3,205.0989106,218.88
569,284.1,209.6592374,219.22
570,221.2,231.9914662,220.14
571,186.3,228.7540263,230.76
572,241.9,216.0178184,221.68
573,174.9,223.7824729,207.9
574,215.2,209.117731,221.48
575,289.1,210.9424117,223.08
576,194.3,234.3896882,221.64
577,234.7,222.3627817,256.36
578,348.5,226.0639472,242.32
579,145,262.7947631,229.8
580,226.5,227.4563341,223.56
581,163.1,227.1694339,219.66
582,215.2,207.9486037,190.98
583,205.1,210.1240226,202.12
584,200.7,208.6168158,182.38
585,127.8,206.2417711,194.54
586,223.9,182.7092398,182.52
587,155.1,195.0664678,178.98
588,187.4,183.0765275,175.22
589,181.9,184.3735692,196.56
590,234.5,183.6314985,195.18
591,217,198.8920489,202.24
592,190.4,204.3244342,208.02
593,216.3,200.147104,204.62
594,164.9,204.9929728,208.02
595,251.5,192.9650809,207.64
596,215.1,210.5255567,207.54
597,189.9,211.8978897,197.5
598,166.1,205.2985228,205.84
599,206.6,193.5389659,191.48
600,179.7,197.4572762,195.38
601,234.6,192.1300933,206.76
602,246.8,204.8710653,202.9
603,146.8,217.4497457,189.14
604,137.8,196.254822,187.88
605,173.4,178.7183754,174.48
606,167.6,177.1228628,158.62
607,167.5,174.2660039,171.24
608,209.9,172.2362028,195.04
609,256.8,183.5353419,196.06
610,178.5,205.5147394,214.82
611,261.4,197.4103175,216.48
612,175.8,216.6072223,211.02
613,182.6,204.3650556,194.24
614,172.9,197.8355389,194.84
615,181.5,190.3548772,181
616,192.2,187.6984141,180.26
617,172.1,189.0488898,183.42
618,198.4,183.9642229,190.5
619,208.3,188.294956,185.52
620,156.6,194.2964692,185.52
621,192.2,182.9875285,198.32
622,236.1,185.7512699,202.82
623,220.9,200.8558889,214.24
624,265.4,206.8691223,221.44
625,192.6,224.4283856,220.68
626,188.4,214.8798699,208.68
627,176.1,206.9359089,198.24
628,168.7,197.6851363,187.42
629,211.3,188.9895954,176.18
630,136.4,195.6827168,172.54
631,170.2,177.8979017,179.08
632,208.8,175.5885312,192.94
633,238,185.5519719,187.88
634,186,201.2863803,200.46
635,199.3,196.7004662,206.06
636,198.2,197.4803263,195.78
637,157.4,197.6962284,184.1
638,179.6,185.6073599,182.46
639,177.8,183.8051519,180.86
640,191.3,182.0036064,187.04
641,229.1,184.7925244,192.06
642,182.5,198.0847671,205.7
643,247.8,193.409337,197.84
644,138.5,209.7265359,199.46
645,199.4,188.3585751,197.34
646,218.5,191.6710026,209.14
647,241.5,199.7197018,199.22
648,198.2,212.2537913,215.18
649,218.3,208.0376539,228
650,263.5,211.1163577,216.62
651,161.6,226.8314504,218.22
652,249.5,207.2620153,219.06
653,202.4,219.9334107,208
654,163,214.6733875,187.08
655,158.9,199.1713712,198.04
656,216.4,187.0899599,173.82
657,128.4,195.8829719,177.9
658,222.8,175.6380803,186.38
659,205.4,189.7866562,198.1
660,217.5,194.4706594,201.3
661,232.4,201.3794616,216.26
662,203.2,210.6856231,217.8
663,230.5,208.4399362,218.62
664,209.5,215.0579553,209.88
665,173.8,213.3905687,207.3
666,219.5,201.5133981,199.36
667,163.5,206.9093787,202.88
668,248.1,193.8865651,185.96
669,124.9,210.1505955,200.76
670,247.8,184.5754169,188.5
671,158.2,203.5427918,189.82
672,170.1,189.9399543,180.8
673,203,183.987968,200.96
674,225.7,189.6915776,198.72
675,236.6,200.4941043,196.6
676,147.6,211.325873,198.2
677,178.1,192.2081111,201.14
678,217.7,187.9756778,184.14
679,140.7,196.8929744,174.78
680,189.8,180.0350821,186.78
681,207.6,182.9645575,201.42
682,251.3,190.3551902,200.62
683,213.7,208.6386332,206.06
684,167.9,210.1570432,209.94
685,209.2,197.4799303,203.88
686,177.3,200.9959512,188.36
687,173.7,193.8871658,186.02
688,202,187.8310161,202.44
689,250,192.0817113,194.98
690,171.9,209.4571979,195.12
691,178,198.1900385,203.62
692,216.2,192.133027,196.44
693,166.1,199.3531189,172.5
694,130.3,189.3771832,182.76
695,223.2,171.6540282,195.88
696,243.6,187.1178198,190.68
697,190.2,204.0624738,214.94
698,287.4,199.9037317,239.22
699,251.7,226.1526122,258.68
700,320.5,233.8168285,249.9
701,199.7,259.82178,246.36
702,172.5,241.785246,233.96
703,225.4,220.9996722,222.26
704,193.2,222.3197705,190.86
705,163.5,213.5838394,175.7
706,123.9,198.5586876,171.32
707,150.6,176.1610813,164.84
708,193,168.4927569,176.94
709,253.7,175.8449298,182.92
710,193.4,199.2014509,188.92
711,153.9,197.4610156,190.2
712,157,184.3927109,186.98
713,176.9,176.1748977,174.26
714,190.1,176.3924284,170.82
715,176.2,180.5046998,180.58
716,202.7,179.2132899,173.66
717,122.4,186.2593029,188.76
718,252.4,167.101512,209.22
719,292.4,192.6910584,211.9
720,189.6,222.6037409,211.74
721,201.9,212.7026186,223.98
722,183.6,209.461833,208.3
723,174,201.7032831,212.3
724,312.4,193.3922982,219.4
725,225.1,229.0946087,226.8
726,238.9,227.8962261,246.34
727,281.3,231.1973583,241.58
728,150.2,246.2281508,214.72
729,178.1,217.4197056,208.06
730,191.8,205.6237939,201.5
731,206.1,201.4766557,207.88
732,313.2,202.863659,222.68
733,224.2,235.9645613,226.02
734,194.8,232.4351929,226.36
735,193.5,221.144635,230.98
736,229.2,212.8512445,207.78
737,197.2,217.7558712,197.24
738,171.5,211.5891098,192.22
739,169.7,199.5623769,197.42
740,219.5,190.6036638,193.14
741,207.8,199.2725647,211.8
742,290.5,201.8307953,213.78
743,181.4,228.4315567,235.48
744,278.2,214.3220897,231.42
745,199.2,233.4854628,238.52
746,243.3,223.1998239,221.08
747,203.3,229.2298768,229.64
748,224.2,221.4509137,227.5
749,267.5,222.2756396,238.22
750,252.8,235.8429477,228.22
751,193.3,240.9300634,232.22
752,223.3,226.6410444,221
753,168.1,225.6387311,215.18
754,238.4,208.3771117,203.92
755,196.5,217.3839782,222.52
756,286.3,211.1187848,209.64
757,158.9,233.6731493,219.38
758,216.8,211.2412045,219.54
759,239.2,212.9088432,244.92
760,323.4,220.7961902,230.74
761,215.4,251.5773332,238.16
762,196,240.7241332,234.22
763,197.1,227.3068932,223.64
764,186.3,218.2448253,207.66
765,243.5,208.6613777,212.46
766,239.4,219.1129644,220.78
767,237.6,225.1990751,208.96
768,138,228.9193525,212.76
769,205.3,201.6435468,203.36
770,196.5,202.7404827,194.18
771,193.5,200.8683379,189.3
772,213.2,198.6578365,209.14
773,237.2,203.0204856,222.12
774,270.2,213.2743399,223.48
775,203.3,230.3520379,228.7
776,219.6,222.2364266,223
777,184.7,221.4454986,216.86
778,206.5,210.421849,201.06
779,191.2,209.2452943,197.52
780,185.6,203.831706,193.82
781,201.1,198.3621942,193.64
782,183.8,199.1835359,197.48
783,225.7,194.5684752,199.38
784,200.7,203.9079326,192.48
785,151.1,202.9455528,208.38
786,280.6,187.391887,211.26
787,198.2,215.3543209,206.82
788,203.5,210.2080246,200.64
789,169.8,208.1956172,205.54
790,175.6,196.6769321,192.8
791,216.9,190.3538524,181.54
792,141.9,198.3176967,186.06
793,226.1,181.3923877,198.74
794,233.2,194.8046714,191.82
795,141,206.32327,203.16
796,273.6,186.726289,217.7
797,214.6,212.7884023,228.82
798,281.7,213.3318816,252.08
799,349.5,233.8423171,262.2
800,191.6,268.539622,240
801,162.6,245.4577354,235.96
802,194.4,220.6004148,207.86
803,141.2,212.7402903,191.06
